,person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
19943,Deputy Sheriff Ernest Martin Hull,"Greene County Sheriff's Office, NC","EOW: Sunday, January 2, 2000",Cause of Death: Automobile accident,Automobile accident,2000-01-02,2000,False,Greene County Sheriff's Office, NC
19944,Patrol Officer James Clinton Bryant,"Broxton Police Department, GA","EOW: Monday, January 3, 2000",Cause of Death: Gunfire,Gunfire,2000-01-03,2000,False,Broxton Police Department, GA
19945,"Staff Sergeant Clyde Almond ""Tub"" Merritt","Coffee County Sheriff's Office, GA","EOW: Monday, January 3, 2000",Cause of Death: Gunfire,Gunfire,2000-01-03,2000,False,Coffee County Sheriff's Office, GA
19946,Inspector Kirk B. Brookbush,"San Francisco Police Department, CA","EOW: Tuesday, January 11, 2000",Cause of Death: Aircraft accident,Aircraft accident,2000-01-11,2000,False,San Francisco Police Department, CA
19947,Police Officer James Francis Dougherty,"San Francisco Police Department, CA","EOW: Tuesday, January 11, 2000",Cause of Death: Aircraft accident,Aircraft accident,2000-01-11,2000,False,San Francisco Police Department, CA
19948,Patrolman Francis Duon Hemilright,"Southern Shores Police Department, NC","EOW: Friday, January 14, 2000",Cause of Death: Heart attack,Heart attack,2000-01-14,2000,False,Southern Shores Police Department, NC
19949,Trooper Matthew R. Bond,"Pennsylvania State Police, PA","EOW: Friday, January 14, 2000",Cause of Death: Automobile accident,Automobile accident,2000-01-14,2000,False,Pennsylvania State Police, PA
19950,Trooper Jason Eric Beal,"Indiana State Police, IN","EOW: Saturday, January 15, 2000",Cause of Death: Struck by vehicle,Struck by vehicle,2000-01-15,2000,False,Indiana State Police, IN
19951,Deputy Eric Scott Salter,"Jefferson County Sheriff's Office, GA","EOW: Tuesday, January 18, 2000",Cause of Death: Automobile accident,Automobile accident,2000-01-18,2000,False,Jefferson County Sheriff's Office, GA
19952,Sheriff Oren Eugene Smith,"Edwards County Sheriff's Department, IL","EOW: Wednesday, January 19, 2000",Cause of Death: Exposure to toxins,Exposure to toxins,2000-01-19,2000,False,Edwards County Sheriff's Department, IL
19953,Correctional Officer Lee Charles Dunn,"Florida Department of Corrections, FL","EOW: Monday, January 24, 2000",Cause of Death: Automobile accident,Automobile accident,2000-01-24,2000,False,Florida Department of Corrections, FL
